feature_index,mu,sigma
0,3.559758e-07,0.003861843
1,1.46519445e-08,0.0021840225
2,-3.2010522e-07,0.0026114325
3,7.8819346e-07,0.0035911342
4,4.527432e-07,0.001651093
5,1.2143506e-07,0.0021852367
6,1.2138653e-06,0.00479854
7,8.8577303e-07,0.0035927012
8,5.5815997e-07,0.0038639384
