feature_index,mu,sigma
0,2.15003660741786e-06,0.0036907310131937265
1,1.0929603604381555e-06,0.0020989628974348307
2,3.4244647117986915e-09,0.0025064884684979916
3,1.218700390381855e-06,0.0034407274797558784
4,1.8290590730885015e-07,0.001591895124875009
5,-8.934956099437841e-07,0.0020995582453906536
6,2.719084761793056e-07,0.004580060485750437
7,-7.425214221257193e-07,0.0034414194524288177
8,-1.80441202246584e-06,0.003691616002470255
