Raw summary for fig4_smooth_all_metrics_evolution.png and fig5_acute_all_metrics_evolution.png
Date: 2026-03-29
Source: paper_formula_cfl095_eps25_dynsign
Note: raw rows only; no averaging or aggregation.
Legend mapping: data02_001_batch256 -> CFL=0.1, data02_002_batch256 -> CFL=0.2, data02_004_batch256 -> CFL=0.4, data02_005_batch256 -> CFL=0.5

[test] Numerical | model=baseline_numerical | curvature=expanded_formula | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
  acute/acute_256        256            10        624 1.983533e-03 3.853590e-02 2.130989e-05
  acute/acute_256        256            20        624 1.967208e-03 4.331038e-02 2.416737e-05
  acute/acute_266        266             5        648 2.497135e-03 3.812152e-02 2.528650e-05
  acute/acute_266        266            10        648 2.025416e-03 3.747749e-02 2.364799e-05
  acute/acute_266        266            20        648 1.966857e-03 3.915361e-02 2.610778e-05
  acute/acute_276        276             5        672 2.088800e-03 5.478784e-02 2.119242e-05
  acute/acute_276        276            10        672 1.759333e-03 4.904675e-02 1.911412e-05
  acute/acute_276        276            20        672 1.770440e-03 4.768174e-02 2.085874e-05

[test] Neural | model=data02_004_batch256 | curvature=model_prediction | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign | legend_label=CFL=0.4

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
smooth/smooth_256        256             5        528 9.975253e-04 1.065080e-02 2.185352e-06
smooth/smooth_256        256            10        528 6.967733e-04 6.751669e-03 1.052248e-06
smooth/smooth_256        256            20        528 6.696092e-04 7.543874e-03 1.015461e-06
smooth/smooth_266        266             5        552 1.009858e-03 6.068228e-03 2.052920e-06
smooth/smooth_266        266            10        552 6.332400e-04 4.280427e-03 7.881512e-07
smooth/smooth_266        266            20        552 6.217049e-04 4.145736e-03 7.450362e-07
smooth/smooth_276        276             5        564 1.066811e-03 8.284487e-03 2.258343e-06
smooth/smooth_276        276            10        564 5.536930e-04 5.817577e-03 6.481095e-07
smooth/smooth_276        276            20        564 5.424337e-04 5.217865e-03 6.059611e-07
  acute/acute_256        256             5        624 2.414178e-03 3.620097e-02 2.387058e-05
  acute/acute_256        256            10        624 1.952933e-03 3.565175e-02 1.980257e-05
  acute/acute_256        256            20        624 1.902473e-03 3.999079e-02 2.243472e-05
  acute/acute_266        266             5        648 2.470031e-03 4.627295e-02 2.753405e-05
  acute/acute_266        266            10        648 1.992983e-03 4.726284e-02 2.612868e-05
  acute/acute_266        266            20        648 1.967262e-03 4.902564e-02 2.834178e-05
  acute/acute_276        276             5        672 2.233872e-03 4.640710e-02 1.827461e-05
  acute/acute_276        276            10        672 1.627990e-03 3.909697e-02 1.458847e-05
  acute/acute_276        276            20        672 1.649658e-03 3.742241e-02 1.637419e-05

[test] Neural | model=data02_005_batch256 | curvature=model_prediction | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign | legend_label=CFL=0.5

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
smooth/smooth_256        256             5        528 1.052819e-03 8.172564e-03 2.388277e-06
smooth/smooth_256        256            10        528 6.555536e-04 5.792208e-03 9.548427e-07
smooth/smooth_256        256            20        528 6.303669e-04 5.297876e-03 8.736239e-07
